=== FULL RUN PLAN (Day 8, 2026-08-16) ===
benchmarks : ['tr_mmlu', 'tumlu_tr', 'halluverse_tr', 'ragturk_formal5k']
models     : ['gpt-5.6-luna', 'mimo-v2.5', 'deepseek-v4-flash']
probes     : ['M1', 'M2a', 'M2b_A', 'M2b_B', 'M2b_C'] (+2 translation calls per item, lazy; +1 gold_TR->EN per RAGTurk item)
n per benchmark sample (seed 42) : {'tr_mmlu': 200, 'tumlu_tr': 200, 'halluverse_tr': 200, 'ragturk_formal5k': 200}
planned answer calls: 11400 | translations: 1600 | RAGTurk gold->EN: 200 | TOTAL ~13200
estimated cost (documented rates only; mimo excluded, tokens counted): $0.7910  [cap $2.00]
fix 2 retry-hard: gpt-5.6-luna x ragturk_formal5k (surface>2000 chars or item-recurrence), max 4 retries
fix 3 matcher: qa_matcher.py strict (precision 1.000 / recall 0.371 on labeled set); arm-C scored vs EN-translated gold
fix 4 spend checkpoints: every 500 calls -> spend_full_2026-08-16.jsonl
resume: 979 calls already logged -> skipping, 10674 to run (translation cache re-seeded: 127 items, gold-EN cache: 0; prior events in log: 3)
[EXC] tr_mmlu|gpt-5.6-luna|M2b_B|126: KeyError: 'backtr_tr'
[tr_mmlu/gpt-5.6-luna/M2b_C 42] ok retries=0 tok=133 cost≈1.58e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 40] ok retries=0 tok=244 cost≈9.89e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 43] ok retries=0 tok=100 cost≈1.25e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 41] ok retries=0 tok=328 cost≈0.0001433
[tr_mmlu/gpt-5.6-luna/M2b_C 45] ok retries=0 tok=166 cost≈4.81e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 46] ok retries=0 tok=215 cost≈4.95e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 44] ok retries=0 tok=231 cost≈9.06e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 48] ok retries=0 tok=108 cost≈1.33e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 50] ok retries=0 tok=121 cost≈1.46e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 49] ok retries=0 tok=107 cost≈1.32e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 51] ok retries=0 tok=100 cost≈1.25e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 47] ok retries=0 tok=152 cost≈4.62e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 52] ok retries=0 tok=102 cost≈1.27e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 55] ok retries=0 tok=113 cost≈1.38e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 56] ok retries=0 tok=133 cost≈1.58e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 54] ok retries=0 tok=133 cost≈2.78e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 57] ok retries=0 tok=122 cost≈1.47e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 53] ok retries=0 tok=319 cost≈0.0001259
[tr_mmlu/gpt-5.6-luna/M2b_C 60] ok retries=0 tok=103 cost≈1.28e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 58] ok retries=0 tok=173 cost≈5.73e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 59] ok retries=0 tok=151 cost≈4.11e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 62] ok retries=0 tok=140 cost≈1.65e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 63] ok retries=0 tok=132 cost≈1.57e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 61] ok retries=0 tok=385 cost≈0.0001645
[tr_mmlu/gpt-5.6-luna/M2b_C 66] ok retries=0 tok=359 cost≈0.0001579
[tr_mmlu/gpt-5.6-luna/M2b_C 65] ok retries=0 tok=406 cost≈0.0001856
[tr_mmlu/gpt-5.6-luna/M2b_C 67] ok retries=0 tok=222 cost≈8.22e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 68] ok retries=0 tok=128 cost≈1.53e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 64] ok retries=0 tok=582 cost≈0.0002732
[tr_mmlu/gpt-5.6-luna/M2b_C 69] ok retries=0 tok=152 cost≈4.42e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 71] ok retries=0 tok=161 cost≈1.86e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 74] ok retries=0 tok=133 cost≈1.58e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 73] ok retries=0 tok=138 cost≈2.68e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 72] ok retries=0 tok=139 cost≈3.09e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 76] ok retries=0 tok=249 cost≈9.49e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 70] ok retries=0 tok=647 cost≈0.0003262
[tr_mmlu/gpt-5.6-luna/M2b_C 77] ok retries=0 tok=362 cost≈0.0001672
[tr_mmlu/gpt-5.6-luna/M2b_C 75] ok retries=0 tok=669 cost≈0.0003284
[tr_mmlu/gpt-5.6-luna/M2b_C 79] ok retries=0 tok=96 cost≈1.21e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 78] ok retries=0 tok=160 cost≈5.3e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 80] ok retries=0 tok=120 cost≈1.45e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 81] ok retries=0 tok=111 cost≈1.36e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 84] ok retries=0 tok=142 cost≈1.67e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 83] ok retries=0 tok=139 cost≈3.69e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 85] ok retries=0 tok=130 cost≈2.65e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 87] ok retries=0 tok=116 cost≈1.41e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 86] ok retries=0 tok=139 cost≈2.99e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 88] ok retries=0 tok=143 cost≈4.18e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 82] ok retries=0 tok=709 cost≈0.0003324
[tr_mmlu/gpt-5.6-luna/M2b_C 90] ok retries=0 tok=150 cost≈3.45e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 89] ok retries=0 tok=326 cost≈0.0001446
[tr_mmlu/gpt-5.6-luna/M2b_C 92] ok retries=0 tok=102 cost≈1.27e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 95] ok retries=0 tok=155 cost≈1.8e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 91] ok retries=0 tok=157 cost≈4.32e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 94] ok retries=0 tok=102 cost≈1.27e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 97] ok retries=0 tok=94 cost≈1.19e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 98] ok retries=0 tok=126 cost≈1.51e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 93] ok retries=0 tok=349 cost≈0.0001544
[tr_mmlu/gpt-5.6-luna/M2b_C 100] ok retries=0 tok=156 cost≈4.76e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 96] ok retries=0 tok=300 cost≈0.000114
[tr_mmlu/gpt-5.6-luna/M2b_C 99] ok retries=0 tok=118 cost≈2.78e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 102] ok retries=0 tok=116 cost≈2.31e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 101] ok retries=0 tok=255 cost≈7.75e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 103] ok retries=0 tok=214 cost≈7.69e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 106] ok retries=0 tok=105 cost≈1.3e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 104] ok retries=0 tok=110 cost≈1.35e-05
